	ime	leto	obrazlozitev	id
960	Miklošičev park	1991	Park v katerem stoji spomenik dr. Francu Miklošiču.	610110637;665
961	Miklošičeva cesta	1898	Dr. Franc Miklošič, roj. 1813 v Radomerščaku pri Ljutomeru, umrl 1891 na Dunaju; univerzitetni profesor na Dunaju, največji slovanski primerjalni jezikoslovec svojega časa.	610110638;701
962	Milčetova pot	1988	Milče Bacciavilla-Puškin, 1923-1944. Predvojni komunist, mladinski aktivist OF.	610110640;1833
963	Milčinskega ulica	1933	Fran Milčinski, roj.1867 v Ložu, umrl 1932 v Ljubljani; pravnik in pisatelj, uvajal mladinsko sodno skrbstvo, delal na pravnem izrazju, humorist in pisatelj za mladino.	610110641;702
964	Mire Lenardičeve ulica	1958	Mira Lenardič, roj. 1902 na Ježici pri Ljubljani, ubita 1943 v belogardistični postojanki v Savljah pri Ljubljani; uslužbenka, od 1941 aktivistka OF.	610110642;703
965	Mirje	1923	Po ostankih starega rimskega zidovja.	610110643;706
966	Mirna pot	1958	Zaradi odmaknjenosti od večjega prometa.	610110644;707
967	Mislejeva ulica	1958	Luka Mislej, roj. 1670 verjetno na Vipavskem, umrl 1727 v Ljubljani; kamnosek. S pomočniki je izvršil najlepša kamnoseška dela Ljubljane.	610110645;708
968	Moškričeva ulica	1958	Jože Moškrič, roj. 1902 v Zadvoru pri Ljubljani, ubit 1943 na Polici na Dolenjskem kot poverjenik CK KPS za ljubljansko okolico; tiskar, pisatelj socialnih dram, predvojni revolucionar in komunist, organizator NOB, narodni heroj.	610110655;723
969	Zemljemerska ulica	1998	Zemljemerstvo - slovenski izraz za geodezijo - vedo, ki meri, popisuje, opisuje in z nacrti ali zemljevidi prikazuje prostor in spremembe v njem	610111126;1204
970	Mivka	2010	V tamkajšnjem okolišu so kopali mivko.	610110646;712
971	Mivka	2010	V tamkajšnjem okolišu so kopali mivko.	610110646;711
972	Mizarska pot	1968	Po mizarski obrti, značilni za to ulico.	610110647;713
973	Mladinska ulica	1974	Mladinska organizacija OF iz Zgornje Šiške, Dravelj, Dolnic, Glinc in Podutika je v času NOB 1941 - 1942 izvršila na tem področju več uspešnih sabotažnih in oboroženih akcij proti okupatorjem.	610110648;714
974	Mlake	1939	V tern okolišu so bile mlake.	610110649;715
975	Mlinska pot	1984	Po treh mlinih, ki so bili ob potoku Črnušnjici.	610110650;716
976	Mlinska pot	1984	Po treh mlinih, ki so bili ob potoku Črnušnjici.	610110650;2320
977	Močilnikarjeva ulica	1980	Močilnikar Franc, 1909-1943. Predvojni komunist, ustreljen od belogardistiv.	610110651;1834
978	Močnikova ulica	1923	Vitez Franc Močnik, roj. 1814 v Cerknem na Goriškem, umrl 1892 v Gradcu Avstro-Ogrska; matematik, pisec matematičnih učbenikov, zaslužen za slovensko šolstvo.	610110652;717
979	Bazoviška ulica	1952	V Bazovici pri Trstu so bili 6. 9. 1930 po sodbi izrednega sodišča ustreljeni slovenski protifašisti Ferdinand Bidovec, Franc Marušič, Zvonimir Miloš in Alojz Valenčič.	610110034;35
980	Mokrška ulica	1965	Po Mokrški četi, ki je bila ustanovljena na Mokrcu in je delovala od avgusta do oktobra 1941. Štela je okrog 150 borcev in je bila zametek Krimskega bataljona.	610110653;718
981	Molekova ulica	1983		610110654;1835
982	Moskovska ulica	2009	Moskovska je asociacija na močno, silno mesto, kar ta ulica s svojim trgovskim in zabavno-kulturnem programom tudi predstavlja. Moskva je glavno mesto in največje mesto v Rusiji. Razprostira se na 880 km² ob reki Moskvi.	610111551;1674
983	Kolodvorska ulica	1991		610110457;720
984	Poljedelska ulica	1941	V spomin na poljedelsko dejavnost v okolišu.	610110877;946
985	Moškričeva ulica	1958	Jože Moškrič, roj. 1902 v Zadvoru pri Ljubljani, ubit 1943 na Polici na Dolenjskem kot poverjenik CK KPS za ljubljansko okolico; tiskar, pisatelj socialnih dram, predvojni revolucionar in komunist, organizator NOB, narodni heroj.	610110655;724
986	Mrharjeva ulica	1968	Stane Mrhar, roj. 1914 v Meranu na Tirolskem, umrl 1963 v Guncljah pri Ljubljani; gradbeni tehnik, predvojni revolucionar in komunist v Šentvidu pri Ljubljani, organizator OF na Koroškem in v letu 1943 OZNE na Gorenjskem.	610110656;725
987	Mrzelova ulica	1984	Mrzel Ludvik, 1904-1971. Slovenjski pisatelj, prevajalec, publicist, predvojni revolucionar in komunist.Med vojno aktivist OF, udeleženec NOB, zaprt v italijanskih in nemških taboriščih. Po osvoboditvi vodil več slovenskih gledališč.	610110657;1836
988	Mucherjeva ulica	1976	Anton Mucher-Muhec, roj. 1927 na Vrhniki, padel v NOB 1943 v Žužemberku na Dolenjskem; vajenec, aktivist mladinske OF od 1941 na Ježici .	610110658;727
989	Murkova ulica	1974	Matija Murko, roj. 1861 na Drsteli pri Ptuju, umrl 1951 v Pragi; univerzitetni profesor na več evropskih univerzah, slavist, primerjalni slovstveni zgodovinar, etnograf. Raziskoval je južno- slovansko epiko in zgodovino starih južnoslovanskih književnosti	610110659;728
990	Murnikova ulica	1910	Ivan Murnik, roj. 1839 v Otoku pri Radovljici, umrl 1913 v Ljubljani; tajnik trgovske in obrtne zbornice, deželni poslanec, zaslužen je za obrtno šolstvo.	610110660;729
991	Murnikova ulica	1910	Ivan Murnik, roj. 1839 v Otoku pri Radovljici, umrl 1913 v Ljubljani; tajnik trgovske in obrtne zbornice, deželni poslanec, zaslužen je za obrtno šolstvo.	610110660;1697
992	Murnova ulica	1997	Josip Murn-Aleksandrov, roj. 1879, umrl 1901 v Ljubljani; pesnik, najsubtilnejši izmed štirih glavnih pesnikov slovenske pesniške moderne.	610110661;1601
993	Murnova ulica	1997	Josip Murn-Aleksandrov, roj. 1879, umrl 1901 v Ljubljani; pesnik, najsubtilnejši izmed štirih glavnih pesnikov slovenske pesniške moderne.	610110661;730
994	Muzejska ulica	1991	Ulica poteka ob Norodno-prirodoslovnem in etnografskem muzeju.	610110662;1694
995	Valvasorjeva ulica	1991	Janez Vajkard Valvasor, roj. 1641 v Ljubljani, umrl1693 v Krškem; zgodovinopisec Kranjske, avtor topografij, posebno Slave vojvodine Kranjske, 1689.	610111351;1429
996	Trg narodnih herojev	1952	Na tern trgu je grobnica narodnih herojev, kjer so leta 1949 pokopali Dragana Jevtiča, Ivana Kavčiča, Janka Premrla, Franca Rozmana, Milovana Šaranoviča, Ljuba Šercerja, Majdo Šilc, Slavka Šlandra, Toneta Tomšiča in Miloša Zidanška, kasneje tudi Borisa Ki	610111209;1307
997	Na brežini	1971	Domače krajevno.	610110663;2370
998	Na brežini	1971	Domače krajevno.	610110663;732
999	Na cvetači	1968	Po vrtovih in sadovnjakih pred zazidavo.	610110664;733
1000	Na delih	1970	Po katastrski označbi.	610110665;734
1001	Na dolih	1939	Domače ime.	610110666;736
1002	Na gaju	1968	Po katastrski označbi.	610110667;737
1003	Na gmajni	1968	Po katastrski označbi.	610110668;738
1004	Ob Mejašu	1973	Po potoku Mejašu.	610110730;812
1005	Ob potoku	1961	Vodi ob potoku.	610110731;814
1006	Na griču	1939	Domače krajevno ime.	610110669;739
1007	Na Herši	1968	Po katastrski označbi.	610110670;740
1008	Na jami	1938	Domače ime.	610110671;744
1009	Na klančku	1911	Po legi ulice.	610110672;745
1010	Koblarjeva ulica	1937	Anton Koblar, roj. 1854 v Železnikih, umrl 1928 v Kranju; zgodovinar in politik.	610110441;481
1011	Mirje	1923	Po ostankih starega rimskega zidovja.	610110643;704
1012	Mirje	1923	Po ostankih starega rimskega zidovja.	610110643;705
1013	Mivka	2010	V tamkajšnjem okolišu so kopali mivko.	610110646;709
1014	Mivka	2010	V tamkajšnjem okolišu so kopali mivko.	610110646;710
1015	Na Palcah	1983	Domače krajevno ime.	610110674;1837
1016	Na peči	1939	Domače krajevno ime.	610110675;751
1017	Puterlejeva ulica	1959	Slavko Puterle, roj. 1905 v Ljubljani,streljen 1942 v Ljubljani kot talec; delavec, predvojni revolucionar in komunist, organizator OF.	610110972;1044
1018	Na požaru	2010	Domače krajevno ime.	610110676;753
1019	Na požaru	2010	Domače krajevno ime.	610110676;752
1020	Na produ	1958	Domače krajevno ime.	610110677;754
1021	Prule	1899	Staro krajevno ime, po nemškem izrazu za mokro in močvirnato zemljo (bruel), uporabljali so ga že na začetku 14. stoletja.	610110960;1033
1022	Na Rojah	1970	Po katastrski označbi.	610110678;755
1023	Na Stolbi	1876	Po stopnišču v tej ulici.	610110679;756
1024	Na Straški vrh	1974	Ledinsko ime.	610110680;757
1025	Na tezi	1939	Staro domače krajevno ime; teza je kraj, kjer se lovijo ptiči.	610110681;758
1026	Na Žalah	1952	Krajevno ime za pokopališče Žale.	610110683;764
1027	Adamič-Lundrovo nabrežje	1952	Ivan Adamič, roj. 1893, umrl 1908 v Ljubljani: dijak. Rudolf Lunder, roj. 1886, umrl 1908 v Ljubljani; strojnik. Ustreljena od avstrijskega vojaštva ob protinemških demonstracijah 20. 9. 1908.	610110002;5
1028	Nade Ovčakove ulica	1958	Nada Ovčak, roj. 1926 na Ježici pri Ljubljani, dijakinja; aktivistka mladinske OF- 1943 padla pri Žužemberku, kot bolničarka v borbi z Italijani.	610110684;735
1029	Nadgoriška cesta	1982	Se imenuje po naselju Nadgorica.	610110685;1838
1030	Za Gradom	1919	Po legi za grajskim hribom.	610111439;1534
1031	Nagodetova ulica	1984	Ivan Nagode, 1902-1980. Delavec, član napredne sindikalne organizacije, aktivist OF, udeleženec NOB, zaprt v Italiji in koncentracijskem taborišču Dachau. Po vojni aktivni politični delavec.	610110686;1839
1032	Nahlikova ulica	1963	Maks Nahlik, roj. 1910 v Ljubljani, padel 1942 na Rogu; uslužbenec, predvojni komunist, deloval v vrstah naprednih Sokolov, organizator OF v Ljubljani, član poilitičnega vodstva na Kočevskem.	610110687;742
1033	Nahtigalova ulica	1973	Dr. Rajko Nahtigal, roj. 1877 v Novem mestu, umrl 1958 v Ljubljani; jezikoslovec, univerziteni profesor v Gradcu in Ljubljani, strokovnjak za starocerkveno slovanščino, primerjalno slovanskoslovnico in za ruski jezik, član SAZU.	610110688;743
1034	Nanoška ulica	1993	Po gori Nanos na Notrajnjskem.	610110689;750
1035	Nanoška ulica	1993	Po gori Nanos na Notrajnjskem.	610110689;747
1036	Nanoška ulica	1993	Po gori Nanos na Notrajnjskem.	610110689;748
1037	Trg francoske revolucije	1952	V spomin na francosko revolucijo leta 1789, ki je povezana s slovensko zgodovino po francoski Iliriji.	610111206;1303
1038	Nasperska pot	1984	Nasper - staro krajevno ime.	610110690;1840
1039	Ulica talcev	1952	Na mestu, kjer ob tej ulici stoji spomenik, je italijanski okupator 13. 10. 1942 ustrelil 24 aktivistov OF. V spomin na te ustreljene talce.	610111318;1407
1040	Nazorjeva ulica.	1952	Vladimir Nazor, roj. 1876 v Postirah na Braču, umrl 1949 v Zagrebu; književnik, partizanski pesnik in pisatelj, predsednik ZAVNOH, nato predsednik predsedstva Sabora NR Hrvatske.	610110691;761
1041	Nebotičnikov prehod	1958	Prehod v stavbnem bloku z Nebotičnikom - prva Ljubljanska stolpnica.	610110692;765
1042	Nedohova ulica	1971	Anton Nedoh, roj. 1924 v Sredancih pri Slavonskem Brodu, padel 1943 na Kočevskem; trgovski pomočnik, od 1941 aktivist mladinske OF v Ljubljani.	610110693;766
1043	Neubergerjeva ulica	1973	Dr. Mavricij Neuberger, roj. 1895 v Ložu pri Starem trgu, umrl 1945; zdravnik, od leta 1941 aktivist OF, v svoji ordinaciji v Ljubljani je zdravil ilegalce in partizane, v njegovi hiši je bil dalj časa ilegalni sedež CTKPS in Poverjeništva CK KPS za Ljub	610110694;767
1044	Jegličeva cesta	1952		610110695;771
1045	No Korošci	1939	Domače krajevno ime.	610110673;746
1046	Ulica miru	1968	Izraža težnjo slovenskega in jugoslovanskih narodov po miru.	610111297;1386
1047	Nova ulica	1970	Domače ime.	610110696;774
1048	Gubčeva ulica	1923	Ambrož Gubec iz Stubice, vodja v hrvaško-slovenskem kmečkem uporu leta 1573. Bil usmrčen v Zagrebu. Pozneje imenovan Matija, verjetno po legendarnem kralju Matjažu.	610110318;343
1049	Kersnikova ulica	1919	Janko Kersnik, roj. 1852 na Brdu pri Lukovici, umrl 1897 v Ljubljani; pisatelj in politik, pripovednik, družbeno kritični realist (novele, romani, podlistki).	610110420;456
1050	Krištofova ulica	1963	Ignac Krištof-Andrej, roj. 1893 v Višnji gori, ustreljen 1945 na Turjaku; uslužbenec, od 1941 organizator OF.	610110504;555
1051	Cesta na Kope	1970	Domače krajevno ime.	610110116;127
1052	Novakova pot	1968	Po Francu Novaku, naprednem vaščanu.	610110697;772
1053	Novakova ulica	1939	Franc Novak, roj. 1856 v Mengšu, umrl 1936 v Ljubljani; gimnazijski profesor, stenograf, Gabelsbergerjev sistem je prikrojil za slovenščino in stenografijo uvedel kot učni predmet.	610110698;773
1054	Nove Fužine	1987	Po stanovanjski soseski in krajevni skupnosti, katere osrednja in povezovalna cesta je.	610110699;1841
1055	Novi trg	1928	Zgodovinsko poimenovanje mestnega dela, omenjenega že v virih 18. stoletja.	610110700;778
1056	Novinarska ulica	1964	Hiše ob tej ulici je zgradila Stanovanjska zadruga časopisnega podjetja Delo, v njih stanujejo največ novinarji.	610110701;775
1057	Novo naselje	1968	Domače ime.	610110702;779
1058	Novo Polje Ccsta XXI	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110722;799
1059	Novo Polje Ccsta XXIII.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110723;800
1060	Novo Polje Cesta I.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110703;780
1061	Novo Polje Cesta II.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110704;781
1062	Novo Polje Cesta III.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110705;782
1063	Novo Polje Cesta IV.	1968	Ceste so označene z rimskimi številkami, po imenu naselja na podlagi referenduma Novo Polje.	610110706;783
1064	Novo Polje Cesta IX.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110707;788
1065	Novo Polje Cesta V.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110708;784
1066	Novo Polje Cesta VI.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110709;785
1067	Novo Polje Cesta VII	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110710;786
1068	Novo Polje Cesta VIII	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110711;787
1069	Novo Polje Cesta X.	1968	Ceste so označene z rimskimi številkami, po imenu naselja, na podlagi referenduma občanov	610110712;789
1070	Novo Polje Cesta XI.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110713;790
1071	Novo Polje Cesta XII.	1968	Ceste so označene z rimskimi številkami, po imenu naselja na podlagi referenduma občanov.	610110714;791
1072	Novo Polje Cesta XIII.	1968	Ceste so označene z rimskimi številkami, po imenu naselja na podlagi referenduma občanov.	610110715;792
1073	Novo Polje Cesta XIV.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110716;793
1074	Novo Polje Cesta XIX	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110717;798
1075	Novo Polje Cesta XV.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110718;794
1076	Novo Polje Cesta XVI.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110719;795
1077	Novo Polje Cesta XVII.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110720;796
1078	Novo Polje Cesta XVIII.	1968	Ceste so označene z rimskimi številkami, po imenu naselja.	610110721;797
1079	Novosadska ulica	1976	Po mestu Novi Sad.	610110724;801
1080	Veselova ulica	1975	Ferdo Vesel, roj. 1861, umrl 1946 v Ljubljani; slikar, realist, slikal folklorne motive, portrete, tihožitja in krajine.	610111365;1446
1081	Nusdorferjeva ulica	1976	Lojze Nusdorfer, roj. 1910 v Ajdovščini, umrl 1952 v Ljubljani; delavec, predvojni revolucionar in komunist, organizator OF v Ljubljani, v NOV politkomisar bataljona, po osvoboditvi družbenopolitični delavec, nosilec Partizanske spomenice 1941.	610110725;802
1082	Ob daljnovodu	1984	Pretežno poteka ob daljnovodu.	610110726;803
1083	Ob daljnovodu	1984	Pretežno poteka ob daljnovodu.	610110726;2371
1084	Ob dolenjski železnici	1993	Poteka ob progi dolenjske železnice.	610110727;807
1085	Ob dolenjski železnici	1993	Poteka ob progi dolenjske železnice.	610110727;805
1086	Grablovičeva ulica	1959	Anton Grablovic, roj. 1864, umrl 1904 v Ljubljani; politik in delavski organizator.	610110293;317
1087	Ob Farjevcu	2004	Po imenu potoka Farjevca, ob katerem poteka ulica.	610040003;1635
1088	Lipičeva ulica	1901	Fran Viljem Lipič (Lippich), roj. 1799 v Igjavi na Slovaškem, umrl 1845 na Dunaju; 1823 -1834 mestni zdravnik v Ljubljani, nato profesor zdravilstva v Padovi in na Dunaju.	610110000;809
1089	Ob kamniški progi	1969	Poteka ob kamniški progi.	610110728;810
1090	Ob Ljubljanici	1961	Po legi ob reki Ljubljanici.	610110729;811
1091	Ob Ljubljanici	1961	Po legi ob reki Ljubljanici.	610110729;2372
1092	Ob Ljubljanici	1961	Po legi ob reki Ljubljanici.	610110729;2373
1093	Miklavčeva ulica	1961	Po zakoncih Miklavc. Franc-Tiček Miklavc, roj. 1907 v Ljubljani, padel 1942 pri Dvoru na Dolenjskem; delavec, predvojni revolucionar in komunist, organizator OF. Francka Miklavc, roj. 1908 v Zadvoru pri Ljubljani, padla 1943 v Rogu na Kočevskem; delavka;	610110636;699
1094	Ob Mejašu	1973	Po potoku Mejašu.	610110730;813
1095	Ulica Jana Husa	1952	Jan Hus, roj. ok. 1369 v Husince na Ceškem, umrl 1415 v Konstanzi, Švica; verski reformator in borec za pravice češkega naroda.	610111267;1370
1096	Ob potoku	1961	Vodi ob potoku.	610110731;815
1097	Ob pristanu.	1963	Po pristanu na reki Ljubljanici.	610110732;816
1098	Ob Savi	1968	Poteka vzporedno z reko Savo.	610110733;820
1099	Ob sotočju	1974	Sotočje reke Ljubljanice in Gruberjevega kanala.	610110734;821
1100	Ob studencu	1982	Po studencu ob tej poti.	610110735;1843
1101	Ob studencu	1982	Po studencu ob tej poti.	610110735;1842
1102	Grablovičeva ulica	1959	Anton Grablovic, roj. 1864, umrl 1904 v Ljubljani; politik in delavski organizator.	610110293;316
1103	Ob zdravstvenem domu	1968	Poteka ob zdravstvenem domu.Krajevno udomačeno ime.	610110736;823
1104	Ob zeleni jami	1930	Domače krajevno ime.	610110737;826
1105	Ob zelenici	1970	Poteka ob zelenici.	610110738;824
1106	Ob železnici	1930	Vodi ob železniški progi.	610110739;828
1107	Ob žici	1968	V neposredni bližini te ulice je tekel del žične meje, ki jo je postavil italijanski okupator okrog mesta februarja 1942, da bi s tem preprečil ljubljanski organizaciji OF zvezo in sodelovanje z borci narodnoosvobodilne vojske in njenim vodstvom.	610110740;829
1108	Obirska ulica	1938	Po gori Obir na Koroškem.	610110741;808
1109	Obrežna steza	1876	Vodi na obrežje reke Ljubljanice.	610110742;817
1110	Obrije	1982		610110743;1844
1111	Aškerčeva cesta	1991	Anton Aškerc, roj. 1856 v Globokem pri Rimskih toplicah, umrl 1912 v Ljubljani; pesnik in epik, klasik slovenske balade.	610110021;22
1112	NA	NA	NA	NA
1113	Obvozna cesta	1958	Po namembi ceste.	610110744;822
1114	Ocvirkova ulica	1984	Anton Ocvirk, 1907-1980. Literarni zgodovinar, teoretik in praktik, predavatelj na ljubljanski univerzi primerjalne književnosti. Aktivist OF, redni član SAZU. Glavni urednik Zbranih del slovenskih pesnikov in pisateljev.	610110745;1845
1115	Ogrinčeva ulica	1938	Josip Ogrinec, roj. 1844 v Kamniku, umrl 1879 v Vinkovcih; profesor, pisatelj poljudnih pripovedi, esejev, veseloiger.	610110746;830
1116	Okiškega ulica	1984	Umek Anton-Okiški, 1898- 1871. Pesnik.	610110747;831
1117	Okiškega ulica	1984	Umek Anton-Okiški, 1898- 1871. Pesnik.	610110747;2374
1118	Okrogarjeva ulica	1970	Anton Okrogar-Nestl, roj. 1923, umrl 1955 v Zagorju ob Savi; ključavničar, predvojni revolucionar in komunist, prvoborec, organizator NOV, komandant brigade, po osvoboditvi major JLA in družbenopolitični delavec, nosilec Partizanske spomenice 1941, narodn	610110748;832
1119	Omahnova ulica	1958	Roman Omahen, roj. 1912 v Stožicah pri Ljubljani, padel 1942 na Jančah pri Litiji; delavec, predvojni revolucionar in komunist, organizator OF.	610110749;833
1120	Omejčeva ulica	1970	Srečko Omejec, roj. 1928 v Šentvidu pri Ljubljani, padel 1944 v Žitari vesi na Koroškem; vajenec, aktivist mladinske OF. S 16 leti odšel v partizane. Partizansko ime Peterček. Prenašal pošto. zbiral sanitetni material, zdravila in orožje.	610110750;834
1121	Omersova ulica	1984	Nikolaj Omersa, 1911 Idrija - 1981 Ljubljana. Slovenski slikar, portreti in krajine v tradiciji barvnega realizma.	610110751;1846
1122	Opekarska cesta	1876	Po nekdanjih opekarnah v tem okolišu.	610110752;835
1123	Oražnova ulica	1928	Ivan Oražen, roj. 1869 v Kostanjevici, umrl 1921 v Ljubljani; zdravnik, mecen. Premoženje zapustil medicinski fakulteti za dom medicincev.	610110753;836
1124	Orlova ulica	1896	Jožef Orel, roj. 1797 v Skopem pri Dutovljah, umrl 1874 v Ljubljani; gospodarstvenik, dal pobudo za izkoriščanje šote na Barju, bil predavatelj prvega slovenskega kmetijskega tečaja, kot notar uvajal slovensko uradovanje.	610110754;837
1125	Osenjakova ulica	1982	Ivan Osenjak, 1895-1944. Predvojni komunist, padel med NOB v Liki. Francka Osenjak, 1901-1986, delavka, v NOB od leta 1941, članica KPJ, večkrat zaprta, mučena. Po vojni družbenopolitična delavka.	610110755;1847
1126	Oslavijska ulica	1928	Po vasi Oslavje blizu Go rice, znani iz bojev ob Soči v letih 1915 - 1917.	610110756;838
1127	Osojna pot	1906	Na senčni, osojni strani grajskega hriba.	610110757;839
1128	Osojna steza	1906	Na senčni, osojni strani grajskega hriba.	610110758;840
1129	Osterčeva ulica	1957	Slavko Osterc, roj. 1895 v Veržeju pri Ljutomeru, umrl 1941 v Ljubljani; glasbenik in skladatelj. Njegove skladbe, simfonične, komorne, operne in baletne so pripadale najmodernejšemu slogu njegovega časa.	610110759;841
1130	Ovčakova ulica	1983	Franc Ovčak, 1913-1945. Simpatizer POS in OF, 1943 se je priključil XVI. SNOUB Janka Premrla-Vojka. Umrl v partizanski bolnišnici v Postojni za posledicami ran.	610110760;1848
1131	Ovinki	1906	V ovinkih speljana pot na grad.	610110761;842
1132	Pahorjeva ulica	1984	Karel Pahor, 1896-1974. Skladatelj orkestralne glasbe, komorne, klavirske glasbe.	610110762;1849
1133	Palmejeva ulica	1987	Olof Palme, 1927-1986. Švedski socialdemokratski politik in državnik. Vse svoje življenje je posvtil ustvarjanju pravičnejših in bolj človeških odnosov.	610110763;1850
1134	Papirniška pot	1968	Vodi proti papirnici v Vevčah.	610110764;843
1135	Papirniški trg	1980	Po bližnji papirnici Vevče. Na tem trgu je spomenik padlim borcem NOV.	610110765;1851
1136	Park Ajdovščina	1995	Ljudsko poimenovanje kraja s preostanki bivališč in grobov predslovanskih prebivalcev.	610110766;1853
1137	Park Ajdovščina	1995	Ljudsko poimenovanje kraja s preostanki bivališč in grobov predslovanskih prebivalcev.	610110766;2375
1138	Park slovenske reformacije	2008	Ljubljana se je s poimenovanjem parka oddolžila slovenski reformaciji, ki pomeni ne samo začetek slovstva v slovenskem knjižnem jeziku (Trubar, Dalmatin, Bohorič), temveč tuđi začetek splošne uporabe imena Slovenci, začetek oblikovanja zavesti o slovenski narodni skupnosti.	610111513;593
1139	Park slovenske reformacije	2008	Ljubljana se je s poimenovanjem parka oddolžila slovenski reformaciji, ki pomeni ne samo začetek slovstva v slovenskem knjižnem jeziku (Trubar, Dalmatin, Bohorič), temveč tuđi začetek splošne uporabe imena Slovenci, začetek oblikovanja zavesti o slovenski narodni skupnosti.	610111513;1592
1140	Park Arturo Toscanini	1964	Arturo Toscanini, roj. 1867 v Parmi, umrl 1957 v New Yorku; svetovno znani italijanski glasbenik in dirigent. Imenovanje po njem je v spomin na sklenitev prijateljstva med mestoma Parmo in Ljubljano.	610110767;844
1141	NA	NA	NA	NA
1142	Park slovenske reformacije	2008	Ljubljana se je s poimenovanjem parka oddolžila slovenski reformaciji, ki pomeni ne samo začetek slovstva v slovenskem knjižnem jeziku (Trubar, Dalmatin, Bohorič), temveč tuđi začetek splošne uporabe imena Slovenci, začetek oblikovanja zavesti o slovenski narodni skupnosti.	610111513;1651
1143	Park slovenske reformacije	2008	Ljubljana se je s poimenovanjem parka oddolžila slovenski reformaciji, ki pomeni ne samo začetek slovstva v slovenskem knjižnem jeziku (Trubar, Dalmatin, Bohorič), temveč tuđi začetek splošne uporabe imena Slovenci, začetek oblikovanja zavesti o slovenski narodni skupnosti.	610111513;1630
1144	Park slovenske reformacije	2008	Ljubljana se je s poimenovanjem parka oddolžila slovenski reformaciji, ki pomeni ne samo začetek slovstva v slovenskem knjižnem jeziku (Trubar, Dalmatin, Bohorič), temveč tuđi začetek splošne uporabe imena Slovenci, začetek oblikovanja zavesti o slovenski narodni skupnosti.	610111513;1721
1145	NA	NA	NA	NA
1146	Parmova ulica	1977	Viktor Parma, roj.1858 v Trstu, umrl 1924 v Mariboru; skladatelj oper in operet.	610110769;2376
1147	Parmova ulica	1977	Viktor Parma, roj.1858 v Trstu, umrl 1924 v Mariboru; skladatelj oper in operet.	610110769;846
1148	Parmska cesta	1974	Po italijanskem mestu Parmi, 1eta 1964 podpisan protokol o prijateljstvu med obema mestoma.	610110770;847
1149	Slomškova ulica	1892	Anton Martin Slomšek, roj.1800 na Slomu pri Ponikvah, umrl 1862 v Mariboru; škof, ljudski prosvetitelj, pobudnik za ustanovitev Družbe sv. Mohorja.	610111063;1145
1150	NA	NA	NA	NA
1151	Partizanska ulica	1959	Po borcih slovenske partizanske vojske.	610110771;850
1152	Pasterkova pot	1970	Franc Pasterk-Lenart, roj. 1912 v Lobniku pri Zelezni Kaplji, padel 1943 v Mežici kot komandant Koroškega bataljona; kmet, predvojni revolucionar, aktivist OF in borec NOV, narodni heroj.	610110772;851
1153	Pavlovčeva ulica	1965	France Pavlovec, roj. 1897 v Trnovem pri Ilirski Bistrici, umrl 1959 v Ljubljani; slikar. Slikal je zlasti krajine, izšel je iz poznega slovenskega impresionizma.	610110773;852
1154	Pavšičeva ulica	1938	Ivan Pavšič, roj. 1879 v Ljubljani, umrl 1914 (kot avstrijski oficir si je sam vzel življenje, ker ni hotel v boj proti Črnogorcem); uslužbenec, preporodovec, soustanovitelj prvih naprednih društev in slovenske čitalnice v Šiški.	610110774;853
1155	Pečarjeva ulica	1970	Maks Pečar-Andrejev, roj. 1910 v Dobravi pri Črnučah, padel 1941 v Selu pri Vodicah kot politkomisar Rašiške čete; mizar, predvojni revolucionar in komunist, organizator OF in prvoborec, narodni heroj.	610110775;854
1156	Pečinska ulica	1980	Po krajevni skupnosti Pečine na REki, ki je pobratena s krajevno skupnostjo Vevče-Zg. Kašelj.	610110776;1854
1157	Pečnik	1984	Po krajevno udomačenem imenu.	610110777;1855
1158	Pečnikova ulica	1982	Marko Pečnik, 1919-1944. Leta 1941 se je vključil v delo ilegalcev. Bil je član OF, a942 izdan in aretiran, po mučenju odpeljan v internacijo. Po kapitulaciji Italije odšel v partizane. Pogrešan od jeseni 1944.	610110778;1856
1159	Pegamova ulica	1939	Po junaku ljudske epske pesmi.	610110779;855
